,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
0,2002-10-07,Primeira Liga,Matchweek 6,Home,Sporting CP,Moreirense,Y,Head,90,3-0,Roberto Volpato,Rui Jorge,1,17,28,LW,Win
1,2002-10-07,Primeira Liga,Matchweek 6,Home,Sporting CP,Moreirense,Y,Right Foot,34,3-0,Roberto Volpato,No assist,1,17,28,LW,Win
2,2002-10-26,Primeira Liga,Matchweek 8,Away,Sporting CP,Boavista,N,Right Foot,88,2-1,Carlos Martins,Tiago Ferreira,1,17,28,,Win
3,2002-11-24,Taca de Portugal,Round 4,Home,Sporting CP,CD Estarreja,N,Left Foot,67,4-1,No data,Cesar Prates,1,17,28,LW,Win
4,2002-12-18,Taca de Portugal,Round 5,Home,Sporting CP,FC Oliveira do Hospital,Y,Left Foot,13,8-1,No data,No assist,1,17,28,SS,Win
5,2003-11-01,Premier League,Matchweek 11,Home,Manchester Utd,Portsmouth,N,Right Foot,80,3-0,Shaka Hislop,No assist,1,18,7,RW,Win
6,2004-02-14,FA Cup,Round 5,Home,Manchester Utd,Manchester City,Y,Right Foot,74,4-2,Arni Arason,No assist,1,19,7,RW,Win
7,2004-03-20,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,N,Right Foot,89,3-0,Kasey Keller,Roy Keane,1,19,7,RW,Win
8,2004-04-10,Premier League,Matchweek 32,Away,Manchester Utd,Birmingham City,N,Head,60,2-1,Maik Taylor,Ryan Giggs,1,19,7,RW,Win
9,2004-05-15,Premier League,Matchweek 38,Away,Manchester Utd,Aston Villa,Y,Right Foot,4,2-0,Thomas Sorensen,No assist,1,19,7,RW,Win
10,2004-05-22,FA Cup,Final,Away,Manchester Utd,Millwall FC,Y,Head,44,3-0,Andy Marshall,Gary Neville,1,19,7,RW,Win
11,2004-06-12,UEFA Euro,Group stage,Home,Portugal,Greece,N,Head,93,0-2,Antonios Nikopolidis,Luis Figo,1,19,17,LW,Loss
12,2004-06-30,UEFA Euro,Semi-finals,Home,Portugal,Netherlands,Y,Head,26,0-0,Edwin van der Sar,Deco,1,19,17,LW,Win
13,2004-09-04,WCQ,First round,Away,Portugal,Latvia,Y,Left Foot,57,0-0,Aleksandrs Kolinko,No assist,1,19,17,RW,Win
14,2004-09-08,WCQ,First round,Home,Portugal,Estonia,Y,Head,75,0-0,Mart Poom,Fernando Meira,1,19,17,RW,Win
15,2004-10-13,WCQ,First round,Home,Portugal,Russia,Y,Right Foot,69,3-0,Vyacheslav Malafeev,No assist,1,19,17,LW,Win
16,2004-10-13,WCQ,First round,Home,Portugal,Russia,Y,Left Foot,39,3-0,Vyacheslav Malafeev,Pauleta,1,19,17,LW,Win
17,2004-11-17,WCQ,First round,Away,Portugal,Luxembourg,Y,Head,28,1-0,Alija Besic,Deco,1,19,17,RW,Win
18,2004-12-04,Premier League,Matchweek 16,Home,Manchester Utd,Southampton,Y,Right Foot,87,3-0,Kasey Keller,Gary Neville,1,19,7,RW,Win
19,2005-01-19,FA Cup,Third round decisive matches,Away,Manchester Utd,Exeter City,Y,Left Foot,9,2-0,Paul Jones,Paul Scholes,1,19,7,,Win
20,2005-01-22,Premier League,Matchweek 24,Home,Manchester Utd,Aston Villa,Y,Right Foot,8,3-1,Thomas Sorensen,Louis Saha,1,19,7,,Win
21,2005-02-01,Premier League,Matchweek 25,Away,Manchester Utd,Arsenal,Y,Left Foot,58,4-2,Manuel Almunia,Ryan Giggs,1,20,7,RW,Win
22,2005-02-01,Premier League,Matchweek 25,Away,Manchester Utd,Arsenal,Y,Left Foot,54,4-2,Manuel Almunia,Ryan Giggs,1,20,7,RW,Win
23,2005-02-19,FA Cup,Round 5,Away,Manchester Utd,Everton,Y,Left Foot,58,2-0,Nigel Martyn,Paul Scholes,1,20,7,,Win
24,2005-03-12,FA Cup,Round 6,Away,Manchester Utd,Southampton,Y,Left Foot,45+1,4-0,Paul Smith,Ruud van Nistelrooy,1,20,7,,Win
25,2005-03-19,Premier League,Matchweek 30,Home,Manchester Utd,Fulham,Y,Right Foot,21,1-0,Edwin van der Sar,Roy Keane,1,20,7,,Win
26,2005-04-17,FA Cup,Semi-finals,Home,Manchester Utd,Newcastle Utd,Y,Right Foot,76,4-1,Shay Given,Ruud van Nistelrooy,1,20,7,RW,Win
27,2005-06-04,WCQ,First round,Home,Portugal,Slovakia,Y,Right Foot,42,1-0,Kamil Contofalsky,No assist,1,20,17,LW,Win
28,2005-06-08,WCQ,First round,Away,Portugal,Estonia,Y,Head,32,0-0,Artur Kotenko,Luis Figo,1,20,17,LW,Win
29,2005-08-09,Champions League Qualification,Third qualifying round,Home,Manchester Utd,Debrecen,Y,Right Foot,63,3-0,Csernyanszki,No assist,1,20,7,,Win
30,2005-10-29,Premier League,Matchweek 11,Away,Manchester Utd,Middlesbrough,N,Head,90+4,4-1,Mark Schwarzer,Paul Scholes,1,20,7,,Loss
31,2005-11-30,EFL Cup,Round of 16,Home,Manchester Utd,West Brom,Y,Right Foot,12,3-1,Russel Hoult,Penalty,1,20,7,RW,Win
32,2005-12-31,Premier League,Matchweek 20,Home,Manchester Utd,Bolton,Y,Right Foot,68,4-1,Jussi Jaaskelainen,Wayne Rooney,1,20,7,,Win
33,2005-12-31,Premier League,Matchweek 20,Home,Manchester Utd,Bolton,Y,Left Foot,90,4-1,Jussi Jaaskelainen,Ruud van Nistelrooy,1,20,7,,Win
34,2006-02-04,Premier League,Matchweek 25,Home,Manchester Utd,Fulham,Y,Right Foot,86,4-2,Antti Niemi,No assist,1,21,7,,Win
35,2006-02-04,Premier League,Matchweek 25,Home,Manchester Utd,Fulham,Y,Right Foot,14,4-2,Antti Niemi,Free kick,1,21,7,,Win
36,2006-02-11,Premier League,Matchweek 26,Away,Manchester Utd,Portsmouth,Y,Right Foot,45+1,3-1,Dean Kiely,Wayne Rooney,1,21,7,RW,Win
37,2006-02-11,Premier League,Matchweek 26,Away,Manchester Utd,Portsmouth,Y,Left Foot,38,3-1,Dean Kiely,No assist,1,21,7,RW,Win
38,2006-02-26,EFL Cup,Final,Away,Manchester Utd,Wigan Athletic,Y,Right Foot,59,4-0,Mike Pollit,Louis Saha,1,21,7,RW,Win
39,2006-03-01,International Frendly,Frendly,Neutral,Portugal,Arabia SaudÃ­,Y,Head,30,1-0,Mohamed Al Deayea,Luis Figo,1,21,17,LW,Win
40,2006-03-01,International Frendly,Frendly,Neutral,Portugal,Arabia SaudÃ­,Y,Left Foot,86,3-0,Mohamed Al Deayea,Hugo Viana,1,21,17,LW,Win
41,2006-03-06,Premier League,Matchweek 28,Away,Manchester Utd,Wigan Athletic,Y,Right Foot,74,2-1,John Filan,Ruud van Nistelrooy,1,21,7,,Win
42,2006-05-07,Premier League,Matchweek 38,Home,Manchester Utd,Charlton Ath,Y,Right Foot,23,4-0,Stephan Andersen,Wes Brown,1,21,7,RW,Win
43,2006-06-17,World Cup,Group stage,Neutral,Portugal,Iran,Y,Right Foot,80,1-0,Ebrahim Mirzapour,Penalty,1,21,17,LW,Win
44,2006-08-20,Premier League,Matchweek 1,Home,Manchester Utd,Fulham,Y,Right Foot,19,5-1,Antti Niemi,Wayne Rooney,1,21,7,,Win
45,2006-09-23,Premier League,Matchweek 6,Away,Manchester Utd,Reading,Y,Right Foot,73,1-1,Marcus Hahnemann,John O'Shea,1,21,7,CF,Draw
46,2006-10-07,UEFA Euro Qualifying,Group stage,Home,Portugal,Azerbaijan,Y,Head,63,3-0,Farhad Valiyev,Simao,1,21,17,RW,Win
47,2006-10-07,UEFA Euro Qualifying,Group stage,Home,Portugal,Azerbaijan,Y,Left Foot,24,2-0,Farhad Valiyev,Deco,1,21,17,RW,Win
48,2006-10-28,Premier League,Matchweek 10,Away,Manchester Utd,Bolton,Y,Right Foot,82,4-0,Jussi Jaaskelainen,Louis Saha,1,21,7,,Win
49,2006-11-04,Premier League,Matchweek 11,Home,Manchester Utd,Portsmouth,Y,Right Foot,10,3-0,David James,Free kick,1,21,7,RW,Win
50,2006-11-15,UEFA Euro Qualifying,Group stage,Home,Portugal,Kazakhstan,Y,Right Foot,30,1-0,David Loria,No assist,1,21,17,RW,Win
51,2006-11-29,Premier League,Matchweek 15,Home,Manchester Utd,Everton,Y,Right Foot,39,3-0,Richard Wright,No assist,1,21,7,,Win
52,2006-12-09,Premier League,Matchweek 17,Home,Manchester Utd,Manchester City,Y,Right Foot,84,3-1,Weaver,No assist,1,21,7,RW,Win
53,2006-12-23,Premier League,Matchweek 19,Away,Manchester Utd,Aston Villa,Y,Right Foot,58,3-0,Gábor Király,No assist,1,21,7,,Win
54,2006-12-23,Premier League,Matchweek 19,Away,Manchester Utd,Aston Villa,Y,Right Foot,85,3-0,Gábor Király,Gary Neville,1,21,7,,Win
55,2006-12-26,Premier League,Matchweek 20,Home,Manchester Utd,Wigan Athletic,N,Head,47,3-1,Chris Kirkland,Paul Scholes,1,21,7,,Win
56,2006-12-26,Premier League,Matchweek 20,Home,Manchester Utd,Wigan Athletic,N,Right Foot,51,3-1,Chris Kirkland,Penalty,1,21,7,,Win
57,2006-12-30,Premier League,Matchweek 21,Home,Manchester Utd,Reading,Y,Right Foot,77,3-2,Marcus Hahnemann,Ryan Giggs,1,21,7,RW,Win
